name,owner,createdAt,updatedAt,stargazers,releases,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,loc_total
SmartRefreshLayout,scwang90,2017-06-02T09:52:50Z,2025-03-14T11:06:01Z,25047,14,6.651026392961877,3.0,7.591301550955324,1.5073313782991202,1.0,0.8492759399738032,30.319648093841643,0.0,295.04740475725816,18146
proxyee-down,proxyee-down-org,2017-10-25T10:07:27Z,2025-03-15T15:43:33Z,24904,49,5.516666666666667,4.0,6.223225134401481,1.4666666666666666,1.0,0.9291269214473292,19.516666666666666,2.0,49.7285825346345,3392
EventBus,greenrobot,2012-07-16T16:55:40Z,2025-03-15T13:07:53Z,24738,7,3.4262295081967213,3.0,3.0659008126797627,1.836065573770492,1.0,1.4240515779898404,9.05464480874317,0.0,35.08227798058748,5269
Hystrix,Netflix,2012-11-19T20:14:46Z,2025-03-15T15:23:15Z,24259,79,3.340648379052369,2.0,5.1879032275820505,1.570074812967581,1.0,3.592060195971956,20.25386533665836,0.0,385.2413064080054,62010
bazel,bazelbuild,2014-06-12T16:00:38Z,2025-03-15T19:10:11Z,23766,186,7.558478158759981,5.0,10.401543764179506,1.6266791921089714,1.0,1.3707781041467988,69.08576796618131,1.0,967.3226821642014,589012
jenkins,jenkinsci,2010-11-22T21:21:23Z,2025-03-15T16:44:32Z,23745,404,6.14079333986288,4.0,8.420466009386208,1.9133202742409403,2.0,1.7888348975625206,46.17286973555338,0.0,914.2928168124104,184031
redisson,redisson,2014-01-11T14:06:25Z,2025-03-15T12:34:57Z,23661,166,5.973752310536044,3.0,10.687380166704973,1.35452865064695,1.0,0.7818690208029908,178.422550831793,0.0,1546.4342632269988,161579
gson,google,2015-03-19T18:21:20Z,2025-03-15T16:21:34Z,23613,9,3.0648236415633936,2.0,4.428136098371432,1.238322211630124,1.0,0.7087373510136303,20.979980934223068,0.0,383.5338378181563,34083
source-code-hunter,doocs,2019-10-28T01:35:10Z,2025-03-15T13:46:18Z,22542,0,,,,,,,,,,0
ExoPlayer,google,2014-06-13T21:19:18Z,2025-03-15T15:27:40Z,21799,28,7.587930508991161,5.0,8.947626781145823,1.295032002438281,1.0,1.0157913264015248,52.220054861322765,0.0,493.13863976016506,262348
SmartTube,yuliskov,2020-07-28T12:53:52Z,2025-03-15T19:43:40Z,21776,716,6.640367553865652,4.0,7.984787778720262,1.5602027883396703,1.0,1.4824447053253995,64.42395437262357,1.0,444.9986765232657,232955
rocketmq,apache,2016-11-30T08:00:08Z,2025-03-15T14:55:52Z,21612,21,6.862560890744607,4.0,10.499377793903642,1.3308977035490606,1.0,0.7551462341755326,114.24077940153096,1.0,2084.295616337341,215966
awesome-system-design-resources,ashishps1,2023-10-25T01:50:42Z,2025-03-15T18:53:04Z,21554,0,0.8181818181818182,1.0,0.6030226891555273,1.0,1.0,0.0,0.0,0.0,0.0,336
eladmin,elunez,2018-12-14T08:54:24Z,2025-03-15T16:06:25Z,21544,1,7.97887323943662,5.0,7.684566065587813,1.158450704225352,1.0,0.4443191413028741,6.426056338028169,0.0,19.515278709782464,8076
Chat2DB,CodePhiliaX,2023-06-20T14:05:26Z,2025-03-15T19:25:55Z,20651,43,6.049514563106796,4.0,6.944488677401315,1.2640776699029126,1.0,0.5612796653774136,16.010679611650485,0.0,82.27061276369251,34786
GSYVideoPlayer,CarGuo,2016-11-13T12:34:31Z,2025-03-15T06:49:33Z,20582,48,5.52435064935065,2.0,6.794741479466312,1.577922077922078,1.0,1.5089218356539866,55.853896103896105,0.0,307.19622936225886,31257
conductor,conductor-oss,2023-12-08T06:06:09Z,2025-03-15T13:05:22Z,20402,19,6.410050983248361,4.0,7.657583623490613,1.2170429715950473,1.0,0.5202328997842995,68.6693372177713,0.0,498.4635620107057,83136
HikariCP,brettwooldridge,2013-10-08T05:43:03Z,2025-03-15T13:31:08Z,20310,0,4.511363636363637,3.0,4.501413919284393,1.2897727272727273,1.0,0.6685660172941176,179.35227272727272,0.0,1439.7064465847373,11235
DoKit,didi,2018-08-14T10:32:07Z,2025-03-14T11:10:11Z,20289,10,4.506054811982154,2.0,5.75909841827535,1.3205863607393244,1.0,0.8374771777838144,71.76673040152964,0.0,634.3989797032715,80443
mybatis-3,mybatis,2013-02-14T19:03:32Z,2025-03-15T14:13:27Z,19994,46,3.540493968983343,2.0,4.94477520468025,1.2400919012062033,1.0,0.7825839844379411,20.9862148190695,0.0,249.50459382262991,60362
RxAndroid,ReactiveX,2014-08-19T03:46:38Z,2025-03-13T11:52:31Z,19867,20,2.272727272727273,1.0,3.7881616056034817,1.1272727272727272,1.0,0.4326723786023175,3.090909090909091,0.0,11.233667530921773,1452
dataease,dataease,2021-02-02T04:10:21Z,2025-03-15T16:36:17Z,19566,91,4.907808090310442,3.0,7.082176056532058,1.211665098777046,1.0,0.6898342774150635,22.132643461900283,0.0,143.22567332799116,39112
litemall,linlinjava,2018-03-22T16:42:30Z,2025-03-15T06:04:52Z,19528,8,4.6175040518638575,3.0,5.849815592087353,1.1264181523500811,1.0,0.3325896620556918,1532.8849270664505,1.0,9402.600398020428,90884
LSPosed,LSPosed,2020-12-12T08:39:37Z,2025-03-15T18:52:19Z,19423,39,5.522248243559719,3.0,7.247233346434144,1.6463700234192038,1.0,1.2869896760042565,48.114754098360656,0.0,319.8492506456946,22952
PhotoView,Baseflow,2012-07-17T16:39:00Z,2025-03-15T15:58:28Z,18830,5,4.733333333333333,3.0,5.544858388223684,1.3555555555555556,1.0,0.5703091488416834,24.6,0.0,157.25853062567202,1792
cat,dianping,2012-12-05T02:31:48Z,2025-03-15T15:05:21Z,18804,3,5.527484143763213,4.0,6.0490490673326125,1.43446088794926,1.0,0.7083669894204062,23.035940803382665,1.0,104.20582680213452,98001
DSA-Bootcamp-Java,kunal-kushwaha,2021-07-30T12:23:25Z,2025-03-15T19:11:14Z,18533,0,1.2687747035573125,1.0,1.240396954124768,1.08300395256917,1.0,0.3407328527871088,3.5019762845849804,1.0,11.01068186473571,6614
SpringCloudLearning,forezp,2017-04-08T10:06:56Z,2025-03-14T11:02:27Z,17924,0,4.5524475524475525,4.0,2.366664978874256,1.048951048951049,1.0,0.2165241205270646,0.5454545454545454,0.0,1.8603621967780963,1123
Algorithms,williamfiset,2017-03-18T02:50:46Z,2025-03-15T17:59:45Z,17747,0,2.611231101511879,2.0,1.791044096972208,1.0539956803455723,1.0,0.2262536407176905,16.19654427645788,3.0,38.50701612774528,32495
antlr4,antlr,2010-02-04T01:36:28Z,2025-03-15T16:49:59Z,17683,31,5.773413897280967,3.0,7.225983967839081,1.8353474320241687,1.0,1.16625061602585,48.30211480362538,0.0,192.86342818684145,41027
Apktool,iBotPeaches,2012-03-19T17:46:53Z,2025-03-15T16:47:23Z,21504,25,6.47972972972973,6.0,5.189562516256118,1.8310810810810807,2.0,0.9855314772755164,53.48648648648648,1.0,301.3583643467042,9858
disruptor,LMAX-Exchange,2012-09-21T13:42:24Z,2025-03-15T08:28:00Z,17670,14,4.480487804878049,3.0,4.82210271334927,1.2902439024390244,1.0,0.8101751683721449,25.882926829268293,0.0,224.69948624996232,13167
APIJSON,Tencent,2016-11-21T12:03:29Z,2025-03-15T18:57:42Z,17525,106,5.582089552238806,2.0,9.120654637807633,1.2686567164179106,1.0,0.6871568466413067,1181.402985074627,5.0,5393.631278224858,13287
tinker,Tencent,2016-09-06T06:57:52Z,2025-03-14T12:56:46Z,17255,59,4.7992277992278,3.0,7.118385448598281,1.606177606177606,1.0,2.510195932638036,28.43436293436293,0.0,110.74255495704207,40089
Sa-Token,dromara,2020-02-03T10:34:29Z,2025-03-15T17:46:16Z,17201,34,4.349922239502333,3.0,4.231661460547772,1.2426127527216173,1.0,0.8223441254787367,62.67807153965786,0.0,703.5845275998415,23364
fresco,facebook,2015-03-02T09:58:04Z,2025-03-14T18:51:47Z,17099,55,6.860769860769861,5.0,7.0817434917002045,1.3972153972153971,1.0,0.9366624268788974,26.45945945945946,0.0,118.7321729267365,61598
